Date,Close,lag_1,SMA5,DI,close_denoised,Interest Rates - Repo Operations Total,Copper Price (cUS$ per pound),EMBIG Peru (variation in bps)
2015-02-16,0.020484171,0.0,3.520977133,0.3871353847697818,0.007337574857455568,0.5860686746380821,0.21411092796513526,0.2947761194029851
2015-02-17,0.023091248,0.020484171,3.520977133,0.3871353847697818,0.008432466174835451,0.5336864169661055,0.20698082593179717,0.2574626865671642
2015-02-18,0.0242085661080073,0.023091248,3.520977133,0.3871353847697818,0.011617863686094472,0.5373206974705498,0.21072328365028906,0.27611940298507465
2015-02-19,0.0270018621973928,0.0242085661080073,3.2986685665,0.3871353847697818,0.015248813367858568,0.5232903286439445,0.21530588493136543,0.25
2015-02-20,0.0260707635009311,0.0270018621973928,3.07636,0.3871353847697818,0.020054025367245456,0.506194863774134,0.21332009096432072,0.23880597014925373
2015-02-21,0.028243327000620735,0.026691495965238902,3.0782266666666667,0.3871353847697818,0.0210277670228217,0.500841327267808,0.21077420140114103,0.2462686567164179
2015-02-22,0.030415890500310367,0.026381129733085,3.0800933333333336,0.3871353847697818,0.022001508678398354,0.4954877907614818,0.20822831183796114,0.2537313432835821
2015-02-23,0.032588454,0.0260707635009311,3.08196,0.3871353847697818,0.022975250333974597,0.4901342542551557,0.20568242227478142,0.26119402985074625
2015-02-24,0.033519553,0.032588454,3.0845599999999997,0.3871353847697818,0.023670115602673007,0.5062380341537813,0.2145421179950587,0.27238805970149255
2015-02-25,0.0270018621973928,0.033519553,3.0868,0.3871353847697818,0.02424351115101841,0.5062380341537813,0.2282899221750513,0.2574626865671642
2015-02-26,0.033054004,0.0270018621973928,3.0874,0.3871353847697818,0.023891791768181368,0.5062380341537813,0.2482242377982481,0.24253731343283583
2015-02-27,0.033054004,0.033054004,3.0887,0.3871353847697818,0.02429418237533996,0.48511607459514405,0.23982280217240207,0.2462686567164179
2015-02-28,0.03398510266666666,0.033054004,3.0892,0.3871353847697818,0.024776238504976685,0.47912803649108193,0.2406120278718801,0.23507462686567165
2015-03-01,0.034916201333333334,0.033054004,3.0897,0.3871353847697818,0.025258294634613817,0.47313999838701987,0.24140125357135836,0.22388059701492538
2015-03-02,0.0358473,0.033054004,3.0902000000000003,0.3871353847697818,0.02574035076425054,0.46715196028295775,0.2421904792708364,0.2126865671641791
2015-03-03,0.034450652,0.0358473,3.0909,0.3871353847697818,0.026760713650416074,0.4506989197331224,0.2359275908645908,0.20522388059701493
2015-03-04,0.036312849,0.034450652,3.0911,0.3871353847697818,0.02780366192763205,0.4435626327942185,0.24005193205123576,0.22388059701492538
2015-03-05,0.034450652,0.036312849,3.0930999999999997,0.3871353847697818,0.028434760451094707,0.4312217528395315,0.23608034445391018,0.23880597014925373
2015-03-06,0.0381750465549348,0.034450652,3.0934,0.3871353847697818,0.028465784913787207,0.446800271312899,0.23157411979911174,0.24253731343283583
2015-03-07,0.03500931098696463,0.03569211685164493,3.0937666666666668,0.3871353847697818,0.02846346099833459,0.4498892348031514,0.23022479827898937,0.24875621890547261
