date,Close,lag_1,SMA5,DI
2000-05-30,0.1386290839205637,0.1387572069186418,0.9314,-0.0016817761894450008
2000-05-31,0.1465727098014091,0.1463164638052529,0.93732,0.0033691871902808007
2000-06-01,0.1386290839205637,0.1379884689301729,0.93108,-0.0004202958411538005
2000-06-02,0.154644458680333,0.154644458680333,0.94376,0.0059095651463229
2000-06-04,0.1550288276745675,0.1551569506726455,0.9445,-0.013517812102925401
2000-06-05,0.1575912876361307,0.1577194106342088,0.94628,0.0004226045013081001
2000-06-06,0.1668161434977577,0.1677130044843049,0.95412,-0.0080543218945714
2000-06-07,0.1746316463805253,0.1742472773862908,0.95932,-0.0016985103767484001
2000-06-08,0.1692504804612427,0.1693786034593207,0.95574,0.0012719323245309992
2000-06-09,0.1684817424727738,0.1684817424727738,0.95354,0.015243561961789201
2000-06-11,0.1629724535554131,0.162844330557335,0.9504,0.0016929406592362996
2000-06-12,0.1666880204996796,0.1665598975016013,0.95336,0.0038124724658163004
2000-06-13,0.1771941063420883,0.1770659833440102,0.9613000000000002,0.0016995926124952002
2000-06-14,0.1725816784112745,0.1724535554131965,0.9578,0.0016973100031276002
2000-06-15,0.1673286354900702,0.1670723894939141,0.95384,-0.0021189975715073
2000-06-16,0.1814221652786674,0.1814221652786674,0.96496,-0.0021278003856835996
2000-06-18,0.1814221652786674,0.1815502882767454,0.96492,0.0012762998856785
2000-06-19,0.1729660474055092,0.1730941704035873,0.95826,0.0004244180476115
2000-06-20,0.1643818065342728,0.1645099295323508,0.9516,0.0025402770748500997
2000-06-21,0.1581037796284432,0.1582319026265213,0.94684,0.0059171146639167005
2000-06-22,0.1450352338244713,0.1449071108263933,0.93646,-0.0004211669133797995
2000-06-23,0.1452914798206277,0.1451633568225494,0.93648,0.0012633569138108995
2000-06-25,0.1446508648302369,0.1443946188340807,0.93608,-0.0012634295744812004
2000-06-26,0.1478539397821907,0.1479820627802688,0.9387799999999998,-0.0008429403103705005
2000-06-27,0.1566944266495835,0.1566944266495835,0.9458,-0.0012676355601630006
2000-06-28,0.1541319666880203,0.1542600896860986,0.9435,0.005487619860097699
2000-06-29,0.1656630365150544,0.1655349135169761,0.95256,0.001694288006737701
2000-06-30,0.1672005124919922,0.1674567584881485,0.95384,-0.0033902349391824998
2000-07-02,0.1680973734785393,0.167969250480461,0.95432,0.0008476751373060996
2000-07-03,0.1600256245996156,0.1601537475976937,0.94842,0.0016916026067008002
2000-07-04,0.165406790518898,0.16527866752082,0.95236,0.0008471288667246
2000-07-05,0.166303651505445,0.1661755285073669,0.95298,0.0008472728556933994
2000-07-06,0.1629724535554131,0.162844330557335,0.95048,-0.005079724888260699
2000-07-07,0.1592568866111465,0.1593850096092246,0.94774,-0.0004228062813238006
2000-07-09,0.1623318385650223,0.162203715566944,0.94988,0.0025386616127186
2000-07-10,0.1680973734785393,0.1680973734785393,0.95456,-0.0025434953385883004
2000-07-11,0.162844330557335,0.1625880845611786,0.95054,-0.0038092273232500007
2000-07-12,0.1516976297245353,0.1518257527226136,0.9417,0.0008438423852163996
2000-07-13,0.1436258808456116,0.1434977578475336,0.93524,0.0
2000-07-14,0.1479820627802688,0.1477258167841126,0.93854,0.0021068596402174
2000-07-16,0.1473414477898782,0.1474695707879563,0.93826,0.0004214456777376996
2000-07-17,0.1443946188340807,0.1445227418321588,0.93612,0.002105219217947
2000-07-18,0.1310698270339525,0.1311979500320306,0.9256,0.0
2000-07-19,0.1297885970531709,0.129916720051249,0.92464,-0.0008388571733378997
2000-07-20,0.1399103139013451,0.1399103139013451,0.93248,0.0004205965035419994
2000-07-21,0.1450352338244713,0.1451633568225494,0.93666,-0.0033698785799395996
2000-07-23,0.1450352338244713,0.1449071108263933,0.9365,-0.0012636045117657
2000-07-24,0.1405509288917359,0.1405509288917359,0.9330200000000002,0.0004205915286017003
2000-07-25,0.1510570147341448,0.1511851377322228,0.94106,0.006746859003653901
2000-07-26,0.1540038436899422,0.1538757206918641,0.9435,-0.0008443886581758001
2000-07-27,0.1391415759128762,0.1392696989109545,0.93192,-0.004625570630715701
2000-07-28,0.1288917360666239,0.1286354900704676,0.9237,0.00041926631703480006
2000-07-30,0.1291479820627801,0.1291479820627801,0.92406,-9.003214840319629e-16
2000-07-31,0.1333760409993591,0.1335041639974374,0.9274,-0.00041979787767560013
2000-08-01,0.1197950032030747,0.1197950032030747,0.9168,0.0
2000-08-02,0.1200512491992311,0.1195387572069184,0.91662,0.0045991940586720004
2000-08-03,0.1046764894298526,0.1049327354260087,0.90512,0.0029153886394752996
2000-08-04,0.1090326713645097,0.1085201793721972,0.9081,0.006253504342715999
2000-08-06,0.1095451633568225,0.1095451633568225,0.90876,-0.0012512033948948002
