date,Close,lag_1,SMA5,DI,close_denoised,STOXX,Oil_WTI_Fut,1Y_Maturity
5/30/00,0.1386290839205637,0.1387572069186418,0.9314,-0.001681776,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
5/31/00,0.1465727098014091,0.1463164638052529,0.93732,0.003369187,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/1/00,0.1386290839205637,0.1379884689301729,0.93108,-0.000420296,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/2/00,0.154644459,0.154644459,0.94376,0.005909565,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/3/00,0.15483664317745024,0.15490070467648925,0.94413,-0.003804123,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/4/00,0.1550288276745675,0.1551569506726455,0.9445,-0.013517812,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/5/00,0.1575912876361307,0.1577194106342088,0.94628,0.000422605,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/6/00,0.1668161434977577,0.1677130044843049,0.95412,-0.008054322,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/7/00,0.1746316463805253,0.1742472773862908,0.95932,-0.00169851,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/8/00,0.1692504804612427,0.1693786034593207,0.95574,0.001271932,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/9/00,0.1684817424727738,0.1684817424727738,0.95354,0.015243562,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/10/00,0.16572709801409347,0.1656630365150544,0.95197,0.008468251,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/11/00,0.1629724535554131,0.162844331,0.9504,0.001692941,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/12/00,0.1666880204996796,0.1665598975016013,0.95336,0.003812472,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/13/00,0.1771941063420883,0.1770659833440102,0.9613000000000002,0.001699593,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/14/00,0.1725816784112745,0.1724535554131965,0.9578,0.00169731,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/15/00,0.1673286354900702,0.1670723894939141,0.95384,-0.002118998,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/16/00,0.1814221652786674,0.1814221652786674,0.96496,-0.0021278,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/17/00,0.1814221652786674,0.1814862267777064,0.96494,-0.00042575,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/18/00,0.1814221652786674,0.1815502882767454,0.96492,0.0012763,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/19/00,0.1729660474055092,0.1730941704035873,0.95826,0.000424418,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/20/00,0.1643818065342728,0.1645099295323508,0.9516,0.002540277,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
6/21/00,0.1581037796284432,0.1582319026265213,0.94684,0.005917115,0.09659544,0.033453257,0.1383311282573318,0.2170371787432536
